id,votedKeywords_음식이 맛있어요,votedKeywords_재료가 신선해요,votedKeywords_친절해요,votedKeywords_뷰가 좋아요,votedKeywords_가성비가 좋아요,votedKeywords_매장이 넓어요,votedKeywords_양이 많아요,votedKeywords_단체모임 하기 좋아요,votedKeywords_특별한 메뉴가 있어요,votedKeywords_주차하기 편해요,votedKeywords_매장이 청결해요,votedKeywords_특별한 날 가기 좋아요,votedKeywords_화장실이 깨끗해요,votedKeywords_혼밥하기 좋아요,votedKeywords_인테리어가 멋져요,votedKeywords_직접 잘 구워줘요,votedKeywords_대화하기 좋아요,votedKeywords_디저트가 맛있어요,votedKeywords_커피가 맛있어요,votedKeywords_사진이 잘 나와요,votedKeywords_음료가 맛있어요,votedKeywords_화장실이 잘 되어있어요,votedKeywords_깨끗해요,votedKeywords_대중교통이 편해요,votedKeywords_술이 다양해요,votedKeywords_기본 안주가 좋아요,votedKeywords_음악이 좋아요,votedKeywords_혼술하기 좋아요,votedKeywords_오래 머무르기 좋아요,votedKeywords_반찬이 잘 나와요,votedKeywords_비싼 만큼 가치있어요,votedKeywords_차분한 분위기에요,votedKeywords_코스요리가 알차요,votedKeywords_야외 공간이 멋져요,votedKeywords_집중하기 좋아요,votedKeywords_좌석이 편해요,votedKeywords_고기 질이 좋아요,votedKeywords_아늑해요,votedKeywords_컨셉이 독특해요,votedKeywords_가격이 합리적이에요,votedKeywords_선물하기 좋아요,votedKeywords_맞춤 지도를 잘해줘요,votedKeywords_샐러드바가 잘 되어있어요,votedKeywords_메뉴 구성이 알차요,votedKeywords_세트 구성이 알차요,votedKeywords_비주얼이 좋아요,votedKeywords_학생과 소통을 잘해요,votedKeywords_선생님이 열정적이에요,votedKeywords_시설이 깔끔해요,votedKeywords_상담이 자세해요,votedKeywords_수업이 체계적이에요,votedKeywords_음식이 빨리 나와요,votedKeywords_아이와 가기 좋아요,votedKeywords_룸이 잘 되어있어요,votedKeywords_현지 맛에 가까워요,votedKeywords_반려동물과 가기 좋아요,votedKeywords_신선해요,votedKeywords_맛있어요,votedKeywords_손질이 깔끔해요,votedKeywords_종류가 다양해요,votedKeywords_포장이 깔끔해요,votedKeywords_건강한 맛이에요,votedKeywords_빵이 맛있어요,votedKeywords_관리 효과가 좋아요,votedKeywords_맞춤 케어를 잘해줘요,votedKeywords_환기가 잘 돼요,votedKeywords_산책로가 잘 되어있어요,votedKeywords_볼거리가 많아요,votedKeywords_신기한 식물이 많아요,votedKeywords_편의시설이 잘 되어있어요,votedKeywords_잡내가 적어요,votedKeywords_행사 상품이 다양해요,votedKeywords_과채가 신선해요,votedKeywords_즉석조리 식품이 맛있어요,votedKeywords_상품이 다양해요,votedKeywords_신상품이 많아요,votedKeywords_향신료가 강하지 않아요,votedKeywords_읽을만한 책이 많아요,votedKeywords_라이브공연이 훌륭해요,votedKeywords_포장이 정성스러워요,votedKeywords_추천을 잘해줘요,votedKeywords_설명이 자세해요
16745642,51.0,34.0,31.0,,30.0,3.0,42.0,4.0,15.0,,5.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16810374,13.0,6.0,4.0,,4.0,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069952324,7.0,5.0,3.0,4.0,3.0,1.0,1.0,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20339637,68.0,47.0,12.0,13.0,6.0,1.0,7.0,4.0,16.0,2.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20243150,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111558653,8.0,2.0,4.0,,4.0,1.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106861575,2.0,1.0,,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11568548,70.0,38.0,41.0,31.0,12.0,13.0,16.0,6.0,12.0,12.0,13.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335038249,13.0,9.0,11.0,,7.0,4.0,3.0,3.0,,,7.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12890508,29.0,16.0,13.0,13.0,5.0,,4.0,1.0,8.0,3.0,3.0,,,,,,,,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32159397,7.0,7.0,2.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249440536,35.0,9.0,25.0,,1.0,11.0,9.0,,6.0,1.0,22.0,1.0,5.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
